Ax,Ay,Az,Amag
0.37,0.64,-9.93,9.96
0.37,0.60,-9.96,9.99
0.36,0.56,-9.94,9.96
0.27,0.58,-9.89,9.91
0.21,0.59,-9.91,9.93
0.36,0.67,-9.97,10.00
0.30,0.50,-9.87,9.89
0.30,0.46,-9.85,9.87
0.42,0.61,-10.07,10.10
0.34,0.54,-9.85,9.87
0.27,0.61,-9.89,9.92
0.36,0.67,-10.00,10.03
0.50,0.68,-9.98,10.01
0.26,0.54,-9.88,9.90
0.18,0.62,-9.90,9.92
0.31,0.64,-9.92,9.95
0.27,0.61,-9.93,9.96
0.36,0.61,-9.92,9.95
0.34,0.55,-9.91,9.93
0.24,0.62,-9.93,9.95
0.33,0.71,-10.01,10.04
0.47,0.56,-9.94,9.97
0.22,0.55,-9.95,9.96
0.28,0.69,-9.99,10.02
0.37,0.64,-9.97,10.00
0.36,0.69,-9.90,9.93
0.29,0.69,-9.93,9.96
0.30,0.54,-9.85,9.87
0.29,0.66,-9.87,9.89
0.30,0.69,-9.94,9.97
0.33,0.59,-9.90,9.92
0.31,0.65,-9.88,9.91
0.33,0.62,-9.94,9.96
0.42,0.63,-9.97,9.99
0.39,0.64,-9.96,9.99
0.25,0.54,-9.95,9.97
0.35,0.67,-9.93,9.96
0.36,0.65,-9.87,9.90
0.37,0.70,-9.97,10.00
0.45,0.63,-9.91,9.94
0.34,0.66,-9.81,9.84
0.25,0.64,-9.96,9.98
0.49,0.63,-9.87,9.90
0.30,0.70,-9.83,9.86
0.34,0.69,-9.98,10.01
0.42,0.54,-10.01,10.04
0.44,0.74,-9.97,10.01
0.42,0.69,-9.90,9.93
0.34,0.64,-9.92,9.94
0.41,0.61,-9.95,9.98
0.39,0.66,-9.92,9.95
0.33,0.64,-9.92,9.95
0.43,0.65,-9.94,9.97
0.49,0.62,-9.95,9.98
0.44,0.58,-9.91,9.93
0.34,0.67,-9.92,9.94
0.34,0.69,-9.96,9.99
0.43,0.64,-9.96,9.99
0.41,0.65,-9.91,9.94
0.33,0.70,-9.95,9.98
0.43,0.72,-9.92,9.95
0.45,0.57,-9.88,9.91
0.39,0.61,-9.91,9.93
0.30,0.62,-9.92,9.94
0.42,0.70,-9.93,9.96
0.48,0.65,-9.94,9.98
0.46,0.63,-9.88,9.91
0.37,0.64,-9.90,9.93
0.43,0.69,-9.94,9.97
0.33,0.64,-9.94,9.96
0.40,0.59,-9.90,9.92
0.37,0.58,-9.95,9.97
0.44,0.70,-9.96,9.99
0.38,0.67,-9.88,9.91
0.40,0.58,-9.90,9.93
0.41,0.66,-9.94,9.97
0.41,0.69,-9.91,9.94
0.37,0.65,-9.94,9.96
0.47,0.63,-9.93,9.96
0.44,0.57,-9.82,9.85
0.23,0.67,-10.08,10.10
0.56,0.54,-9.84,9.87
0.36,0.65,-9.81,9.84
0.39,0.73,-9.98,10.01
0.45,0.61,-9.98,10.00
0.45,0.56,-9.93,9.95
0.38,0.75,-9.90,9.93
0.40,0.76,-9.91,9.94
0.36,0.62,-9.93,9.95
0.37,0.51,-9.93,9.95
0.37,0.65,-9.92,9.95
0.42,0.69,-9.92,9.96
0.40,0.59,-9.93,9.95
0.44,0.63,-9.95,9.98
0.48,0.62,-9.88,9.92
0.42,0.68,-9.96,10.00
0.39,0.60,-9.94,9.97
0.36,0.69,-9.94,9.97
0.50,0.72,-9.93,9.97
0.44,0.67,-9.93,9.96
0.34,0.60,-9.90,9.93
0.34,0.74,-9.88,9.92
0.50,0.70,-9.93,9.97
0.45,0.51,-9.90,9.92
0.43,0.69,-9.90,9.93
0.42,0.68,-9.95,9.99
0.37,0.60,-9.93,9.95
0.45,0.64,-9.95,9.98
0.39,0.61,-9.92,9.95
0.37,0.66,-9.93,9.96
0.44,0.69,-9.94,9.97
0.47,0.65,-9.92,9.95
0.40,0.54,-9.90,9.92
0.33,0.60,-9.90,9.93
0.47,0.69,-9.96,10.00
0.47,0.65,-9.94,9.98
0.44,0.60,-9.81,9.84
0.25,0.86,-10.08,10.12
0.47,0.50,-9.87,9.90
0.49,0.67,-9.83,9.87
0.42,0.73,-9.93,9.96
0.44,0.56,-9.99,10.02
0.60,0.57,-9.95,9.98
0.38,0.69,-9.88,9.91
0.34,0.71,-9.88,9.91
0.31,0.50,-9.94,9.95
0.42,0.61,-9.91,9.94
0.43,0.66,-9.89,9.92
0.34,0.65,-9.92,9.95
0.41,0.65,-9.93,9.96
0.44,0.72,-9.98,10.01
0.50,0.73,-9.96,10.00
0.30,0.67,-9.92,9.94
0.41,0.51,-9.95,9.97
0.42,0.72,-9.98,10.01
0.52,0.72,-9.93,9.97
0.40,0.58,-9.94,9.97
0.38,0.61,-9.87,9.90
0.31,0.63,-9.90,9.93
0.39,0.68,-9.91,9.94
0.43,0.62,-9.92,9.95
0.39,0.70,-9.96,10.00
0.36,0.64,-9.95,9.97
0.40,0.64,-9.97,10.00
0.43,0.70,-9.91,9.95
0.28,0.59,-9.93,9.95
0.36,0.60,-9.90,9.93
0.30,0.58,-9.93,9.95
0.42,0.69,-9.88,9.91
0.39,0.71,-9.99,10.02
0.34,0.59,-9.89,9.91
0.38,0.59,-9.79,9.82
0.22,0.79,-10.05,10.09
0.36,0.57,-9.93,9.96
0.34,0.53,-9.86,9.88
0.40,0.75,-9.94,9.98
0.43,0.68,-9.99,10.02
0.41,0.60,-9.95,9.97
0.33,0.66,-9.91,9.94
0.30,0.61,-9.88,9.91
0.27,0.64,-9.93,9.95
0.26,0.63,-9.89,9.91
0.40,0.72,-9.90,9.94
0.40,0.62,-9.89,9.91
0.45,0.54,-9.86,9.89
0.38,0.58,-9.90,9.93
0.38,0.66,-9.90,9.93
0.17,0.74,-9.93,9.96
0.29,0.57,-10.04,10.06
0.45,0.54,-9.97,10.00
0.31,0.68,-9.90,9.93
0.37,0.65,-9.85,9.88
0.40,0.64,-9.78,9.81
0.22,0.72,-9.95,9.98
0.28,0.68,-9.91,9.94
0.30,0.59,-9.90,9.92
0.39,0.62,-9.98,10.01
0.42,0.72,-9.92,9.95
0.37,0.64,-9.96,9.99
0.25,0.60,-9.92,9.94
0.33,0.65,-9.89,9.92
0.32,0.60,-9.93,9.95
0.31,0.63,-10.03,10.06
0.34,0.67,-9.93,9.96
0.30,0.64,-9.85,9.87
0.10,0.73,-10.05,10.08
0.33,0.60,-9.99,10.01
0.41,0.61,-9.76,9.79
0.28,0.72,-9.95,9.98
0.39,0.63,-9.98,10.01
0.45,0.59,-9.94,9.97
0.30,0.59,-9.92,9.94
0.26,0.62,-9.89,9.91
0.25,0.64,-9.93,9.96
0.34,0.66,-9.91,9.94
0.36,0.63,-9.90,9.93
0.21,0.63,-9.89,9.91
0.34,0.67,-9.89,9.91
0.39,0.69,-10.00,10.03
0.37,0.66,-9.93,9.95
0.18,0.69,-9.97,10.00
0.33,0.66,-9.96,9.99
0.42,0.60,-9.97,10.00
0.32,0.57,-9.98,10.00
0.29,0.64,-9.89,9.91
0.33,0.63,-9.89,9.92
0.36,0.67,-9.91,9.94
0.29,0.58,-9.97,9.99
0.35,0.64,-9.91,9.93
0.27,0.65,-9.92,9.95
0.23,0.59,-9.94,9.96
0.26,0.57,-9.92,9.94
0.29,0.68,-9.92,9.94
0.31,0.63,-9.92,9.94
0.35,0.64,-9.94,9.96
0.38,0.69,-9.93,9.96
0.31,0.68,-10.00,10.02
0.42,0.56,-9.91,9.94
0.27,0.62,-9.90,9.92
0.32,0.64,-9.97,10.00
0.28,0.55,-9.88,9.90
0.19,0.73,-9.92,9.95
0.37,0.74,-10.05,10.08
0.45,0.54,-9.98,10.00
0.36,0.63,-9.88,9.91
0.24,0.60,-9.90,9.92
