Ax,Ay,Az,Amag,Ax2,Ay2,Az2,Amag2
-1.99,-9.63,0.14,9.84,-9.64,-0.10,-2.27,9.90
-2.01,-9.65,0.11,9.86,-9.66,-0.11,-2.25,9.92
-2.01,-9.64,0.15,9.85,-9.64,-0.10,-2.25,9.89
-2.06,-9.66,0.19,9.88,-9.63,-0.09,-2.26,9.89
-2.09,-9.63,0.18,9.86,-9.62,-0.08,-2.24,9.88
-2.06,-9.61,0.16,9.83,-9.60,-0.06,-2.22,9.86
-2.04,-9.59,0.13,9.81,-9.60,-0.06,-2.22,9.85
-2.03,-9.58,0.11,9.79,-9.60,-0.09,-2.20,9.85
-2.04,-9.57,0.12,9.78,-9.60,-0.10,-2.18,9.85
-2.03,-9.60,0.13,9.81,-9.60,-0.08,-2.23,9.86
-2.05,-9.59,0.11,9.80,-9.61,-0.08,-2.22,9.87
-2.03,-9.56,0.13,9.77,-9.59,-0.10,-2.23,9.85
-2.05,-9.55,0.11,9.77,-9.58,-0.09,-2.24,9.84
-2.06,-9.52,-0.08,9.74,-9.60,-0.07,-2.23,9.85
-2.04,-9.59,0.04,9.81,-9.62,-0.10,-2.23,9.88
-2.03,-9.61,0.03,9.82,-9.59,-0.08,-2.22,9.84
-2.06,-9.64,0.11,9.86,-9.67,-0.08,-2.34,9.95
-2.06,-9.65,0.15,9.87,-9.60,-0.11,-2.25,9.87
-2.02,-9.60,0.14,9.81,-9.68,-0.08,-2.23,9.94
-2.02,-9.57,0.12,9.78,-9.61,-0.11,-2.20,9.86
-2.07,-9.59,0.16,9.81,-9.60,-0.11,-2.28,9.86
-2.07,-9.56,0.12,9.79,-9.60,-0.09,-2.27,9.86
-2.06,-9.55,0.07,9.77,-9.60,-0.10,-2.24,9.86
-2.01,-9.59,0.08,9.80,-9.60,-0.07,-2.20,9.84
-2.01,-9.60,0.06,9.81,-9.61,-0.09,-2.22,9.86
-2.01,-9.59,0.10,9.80,-9.62,-0.11,-2.28,9.89
-2.02,-9.61,0.11,9.82,-9.61,-0.09,-2.23,9.87
-2.02,-9.60,0.11,9.81,-9.61,-0.06,-2.22,9.86
-2.03,-9.58,0.10,9.79,-9.60,-0.08,-2.26,9.86
-2.05,-9.60,0.11,9.82,-9.60,-0.11,-2.26,9.86
-2.04,-9.57,0.12,9.78,-9.62,-0.09,-2.25,9.88
-2.04,-9.61,0.10,9.82,-9.58,-0.10,-2.25,9.85
-2.02,-9.62,0.12,9.83,-9.59,-0.09,-2.23,9.84
-2.00,-9.54,0.10,9.75,-9.58,-0.10,-2.26,9.85
-2.03,-9.59,0.07,9.80,-9.60,-0.10,-2.24,9.86
-2.02,-9.62,0.08,9.83,-9.62,-0.11,-2.21,9.87
-2.04,-9.62,0.12,9.83,-9.62,-0.09,-2.22,9.88
-2.03,-9.63,0.10,9.84,-9.64,-0.09,-2.22,9.89
-2.05,-9.65,0.08,9.86,-9.63,-0.08,-2.23,9.89
-2.04,-9.63,0.08,9.85,-9.61,-0.10,-2.25,9.88
-2.03,-9.62,0.10,9.83,-9.62,-0.06,-2.27,9.88
-2.08,-9.60,0.10,9.83,-9.60,-0.07,-2.28,9.86
-2.06,-9.57,0.10,9.79,-9.58,-0.07,-2.25,9.84
-2.05,-9.57,0.08,9.79,-9.60,-0.08,-2.24,9.86
-2.07,-9.65,0.27,9.87,-9.58,-0.09,-2.24,9.84
-2.03,-9.58,0.07,9.79,-9.59,-0.10,-2.24,9.85
-2.07,-9.59,0.06,9.81,-9.59,-0.10,-2.23,9.84
-2.04,-9.57,0.06,9.79,-9.57,-0.09,-2.23,9.83
-2.01,-9.58,0.03,9.79,-9.58,-0.10,-2.23,9.84
-2.05,-9.58,0.06,9.80,-9.62,-0.08,-2.23,9.88
-2.03,-9.59,0.05,9.81,-9.58,-0.08,-2.24,9.84
-2.01,-9.58,0.06,9.79,-9.60,-0.09,-2.24,9.85
-2.04,-9.58,0.09,9.80,-9.62,-0.07,-2.24,9.88
-2.06,-9.59,0.11,9.81,-9.60,-0.09,-2.27,9.87
-2.08,-9.55,0.06,9.78,-9.58,-0.05,-2.24,9.83
-2.07,-9.58,0.09,9.80,-9.57,-0.08,-2.23,9.83
-2.07,-9.58,0.10,9.80,-9.58,-0.06,-2.26,9.84
-2.05,-9.56,0.07,9.78,-9.61,-0.07,-2.23,9.86
-2.04,-9.60,0.04,9.81,-9.62,-0.07,-2.24,9.87
-2.05,-9.60,0.02,9.81,-9.61,-0.07,-2.23,9.87
-2.05,-9.60,0.03,9.82,-9.60,-0.06,-2.26,9.87
-2.04,-9.60,0.09,9.81,-9.60,-0.07,-2.23,9.86
-2.04,-9.60,0.06,9.81,-9.59,-0.10,-2.23,9.85
-2.08,-9.59,0.09,9.81,-9.59,-0.06,-2.24,9.85
-2.03,-9.60,0.07,9.81,-9.59,-0.08,-2.21,9.85
-2.06,-9.61,0.09,9.82,-9.60,-0.07,-2.25,9.86
-2.00,-9.56,0.07,9.77,-9.59,-0.09,-2.25,9.85
-2.01,-9.58,0.03,9.79,-9.59,-0.08,-2.27,9.86
-2.04,-9.61,0.05,9.83,-9.60,-0.07,-2.24,9.86
-2.12,-9.64,0.09,9.87,-9.63,-0.06,-2.32,9.91
-2.11,-9.62,0.24,9.85,-9.61,-0.07,-2.28,9.88
-2.04,-9.54,0.12,9.76,-9.55,-0.07,-2.24,9.81
-2.00,-9.47,-0.04,9.68,-9.61,-0.10,-2.33,9.89
-2.00,-9.71,-0.14,9.91,-9.56,-0.07,-2.14,9.79
-2.02,-9.63,-0.01,9.83,-9.59,-0.09,-2.18,9.83
-2.11,-9.62,0.09,9.85,-9.63,-0.08,-2.35,9.91
-2.13,-9.60,0.18,9.84,-9.54,-0.08,-2.28,9.81
-2.08,-9.52,0.14,9.74,-9.57,-0.05,-2.25,9.83
-2.06,-9.48,0.07,9.71,-9.57,-0.06,-2.19,9.81
-2.07,-9.58,-0.04,9.80,-9.58,-0.07,-2.22,9.84
-2.13,-9.63,-0.01,9.86,-9.63,-0.04,-2.23,9.88
-2.14,-9.51,-0.01,9.75,-9.67,-0.07,-2.28,9.93
-2.04,-9.66,0.00,9.87,-9.67,-0.07,-2.24,9.92
-2.04,-9.66,0.04,9.88,-9.65,-0.06,-2.21,9.90
-2.06,-9.66,0.05,9.88,-9.64,-0.08,-2.24,9.90
-2.06,-9.63,0.06,9.85,-9.60,-0.08,-2.24,9.86
-2.06,-9.61,0.09,9.82,-9.59,-0.03,-2.22,9.85
