Ax,Ay,Az,Amag
-2.39,-9.42,1.15,9.79
-2.40,-9.44,1.22,9.82
-2.39,-9.44,1.17,9.81
-2.41,-9.45,1.21,9.83
-2.43,-9.43,1.21,9.81
-2.40,-9.44,1.20,9.81
-2.41,-9.41,1.22,9.79
-2.41,-9.45,1.22,9.83
-2.41,-9.46,1.23,9.84
-2.40,-9.44,1.19,9.81
-2.37,-9.42,1.18,9.79
-2.39,-9.42,1.21,9.80
-2.39,-9.42,1.22,9.79
-2.43,-9.42,1.24,9.80
-2.42,-9.41,1.24,9.79
-2.43,-9.42,1.25,9.80
-2.45,-9.41,1.22,9.80
-2.43,-9.45,1.23,9.83
-2.44,-9.46,1.23,9.85
-2.41,-9.45,1.23,9.82
-2.40,-9.43,1.23,9.81
-2.40,-9.44,1.24,9.82
-2.41,-9.44,1.26,9.83
-2.41,-9.41,1.27,9.80
-2.41,-9.42,1.26,9.81
-2.40,-9.39,1.23,9.77
-2.42,-9.40,1.24,9.78
-2.44,-9.42,1.24,9.81
-2.45,-9.41,1.23,9.80
-2.41,-9.41,1.26,9.80
-2.44,-9.42,1.24,9.81
-2.43,-9.43,1.25,9.82
-2.40,-9.44,1.26,9.82
-2.43,-9.42,1.27,9.81
-2.42,-9.45,1.25,9.83
-2.42,-9.43,1.24,9.81
-2.40,-9.45,1.23,9.82
-2.43,-9.43,1.24,9.82
-2.41,-9.43,1.26,9.81
-2.41,-9.44,1.26,9.83
-2.42,-9.46,1.26,9.84
-2.45,-9.44,1.24,9.83
-2.43,-9.42,1.25,9.81
-2.42,-9.43,1.25,9.81
-2.43,-9.45,1.21,9.83
-2.41,-9.43,1.22,9.81
-2.43,-9.44,1.21,9.82
-2.47,-9.46,1.27,9.86
-2.49,-9.46,1.36,9.87
-2.49,-9.44,1.40,9.86
-2.35,-9.35,1.20,9.71
-2.36,-9.36,1.12,9.72
-2.37,-9.50,1.20,9.87
-2.38,-9.43,1.10,9.79
-2.39,-9.42,1.22,9.80
-2.45,-9.45,1.42,9.86
-2.43,-9.35,1.38,9.76
-2.44,-9.36,1.31,9.76
-2.40,-9.40,1.49,9.82
-2.53,-9.38,1.02,9.77
-2.41,-9.45,1.22,9.83
-2.47,-9.45,1.16,9.83
-2.44,-9.42,1.16,9.80
-2.42,-9.48,1.20,9.86
-2.44,-9.45,1.20,9.84
-2.45,-9.50,1.23,9.88
-2.46,-9.50,1.26,9.89
-2.45,-9.50,1.25,9.89
