Ax,Ay,Az,Amag
0.03,-9.50,2.67,9.87
0.07,-9.49,2.66,9.86
0.06,-9.49,2.62,9.85
0.05,-9.49,2.62,9.85
0.04,-9.49,2.63,9.85
0.07,-9.50,2.67,9.87
0.08,-9.49,2.68,9.86
0.09,-9.51,2.67,9.88
0.09,-9.48,2.65,9.84
0.08,-9.47,2.65,9.84
0.07,-9.43,2.67,9.80
0.06,-9.43,2.65,9.80
0.06,-9.43,2.66,9.80
0.04,-9.45,2.66,9.82
0.05,-9.46,2.66,9.83
0.07,-9.49,2.65,9.85
0.03,-9.48,2.65,9.85
0.05,-9.48,2.68,9.85
0.05,-9.48,2.71,9.86
0.05,-9.47,2.72,9.85
0.05,-9.50,2.74,9.88
0.04,-9.49,2.75,9.88
0.05,-9.46,2.78,9.86
0.03,-9.47,2.78,9.87
0.07,-9.45,2.78,9.85
0.05,-9.46,2.77,9.86
0.07,-9.43,2.76,9.82
0.09,-9.44,2.74,9.83
0.08,-9.45,2.73,9.84
0.07,-9.46,2.74,9.85
0.06,-9.42,2.73,9.81
0.06,-9.45,2.76,9.84
0.07,-9.41,2.74,9.80
0.06,-9.41,2.75,9.81
0.06,-9.41,2.81,9.82
0.07,-9.45,2.78,9.85
0.05,-9.43,2.77,9.83
0.08,-9.44,2.80,9.85
0.07,-9.46,2.80,9.86
0.09,-9.44,2.81,9.85
0.06,-9.44,2.79,9.84
0.06,-9.43,2.79,9.83
0.10,-9.40,2.77,9.81
0.08,-9.39,2.79,9.80
0.08,-9.45,2.84,9.86
0.09,-9.43,2.85,9.85
0.09,-9.50,2.93,9.94
0.08,-9.54,2.98,10.00
0.06,-9.51,2.97,9.96
0.10,-9.43,2.89,9.87
0.08,-9.41,2.86,9.84
0.07,-9.40,2.87,9.83
0.10,-9.33,2.90,9.77
0.06,-9.34,2.93,9.78
0.05,-9.35,2.96,9.81
0.03,-9.36,2.94,9.81
0.05,-9.37,2.89,9.81
0.01,-9.42,2.88,9.85
0.08,-9.43,2.84,9.85
0.09,-9.41,2.86,9.84
0.13,-9.43,2.88,9.86
0.12,-9.46,2.91,9.89
0.14,-9.43,2.92,9.88
0.13,-9.46,2.99,9.92
0.08,-9.48,3.03,9.95
0.07,-9.44,3.01,9.91
0.06,-9.43,3.00,9.89
