Ax,Ay,Az,Amag,Ax2,Ay2,Az2,Amag2
-1.72,-9.68,0.06,9.84,-9.66,-0.10,-1.99,9.86
-1.67,-9.71,0.05,9.85,-9.73,-0.09,-2.01,9.93
-1.70,-9.68,0.05,9.83,-9.67,-0.11,-1.99,9.88
-1.73,-9.75,0.12,9.91,-9.68,-0.11,-1.99,9.89
-1.74,-9.71,0.11,9.87,-9.67,-0.09,-1.98,9.87
-1.77,-9.71,0.16,9.87,-9.66,-0.09,-1.94,9.86
-1.73,-9.66,0.11,9.81,-9.65,-0.11,-1.97,9.85
-1.72,-9.63,0.07,9.78,-9.66,-0.08,-1.93,9.85
-1.70,-9.64,0.05,9.79,-9.64,-0.08,-1.94,9.83
-1.70,-9.66,0.05,9.81,-9.66,-0.08,-1.94,9.85
-1.69,-9.64,0.08,9.79,-9.64,-0.11,-1.97,9.84
-1.72,-9.66,0.09,9.82,-9.64,-0.09,-1.97,9.84
-1.72,-9.63,-0.03,9.78,-9.66,-0.08,-2.04,9.87
-1.77,-9.65,0.07,9.81,-9.64,-0.07,-1.98,9.84
-1.77,-9.65,0.05,9.81,-9.64,-0.11,-1.96,9.84
-1.69,-9.66,0.05,9.81,-9.63,-0.05,-1.92,9.82
-1.77,-9.68,0.05,9.84,-9.69,-0.05,-2.02,9.89
-1.80,-9.70,0.11,9.86,-9.64,-0.07,-2.03,9.85
-1.77,-9.68,0.13,9.84,-9.67,-0.06,-1.95,9.86
-1.74,-9.67,0.12,9.83,-9.69,-0.14,-2.00,9.90
-1.74,-9.71,0.12,9.86,-9.67,-0.12,-1.97,9.86
-1.77,-9.65,0.16,9.82,-9.68,-0.07,-2.01,9.89
-1.77,-9.65,0.00,9.81,-9.65,-0.09,-1.98,9.85
-1.76,-9.65,-0.03,9.81,-9.67,-0.07,-1.98,9.87
-1.74,-9.67,0.02,9.82,-9.68,-0.08,-1.98,9.88
-1.74,-9.63,0.06,9.79,-9.65,-0.06,-1.99,9.86
-1.79,-9.64,0.06,9.80,-9.66,-0.05,-1.96,9.86
-1.77,-9.64,0.08,9.80,-9.63,-0.03,-2.02,9.84
-1.78,-9.64,0.07,9.81,-9.66,-0.05,-2.00,9.87
-1.78,-9.59,0.07,9.75,-9.64,-0.04,-1.96,9.84
-1.76,-9.63,0.08,9.78,-9.63,-0.01,-1.98,9.83
-1.74,-9.66,0.07,9.81,-9.63,-0.04,-1.98,9.83
-1.75,-9.65,0.07,9.81,-9.65,-0.08,-1.96,9.85
-1.70,-9.63,0.10,9.78,-9.65,-0.09,-1.98,9.85
-1.74,-9.65,0.12,9.80,-9.66,-0.06,-1.98,9.86
-1.73,-9.65,0.13,9.81,-9.68,-0.08,-1.95,9.88
-1.77,-9.67,0.08,9.83,-9.67,-0.08,-1.97,9.87
-1.76,-9.68,0.05,9.84,-9.68,-0.06,-1.98,9.88
-1.78,-9.66,0.06,9.83,-9.67,-0.03,-1.98,9.87
-1.78,-9.65,0.08,9.82,-9.66,-0.05,-1.93,9.85
-1.77,-9.69,0.05,9.85,-9.66,-0.04,-1.99,9.86
-1.77,-9.64,0.03,9.80,-9.68,-0.04,-1.94,9.87
-1.75,-9.67,0.05,9.83,-9.65,-0.04,-2.00,9.86
-1.75,-9.64,0.12,9.80,-9.67,-0.05,-1.98,9.87
-1.75,-9.63,-0.05,9.79,-9.66,-0.06,-1.96,9.86
-1.77,-9.64,0.03,9.80,-9.63,-0.05,-1.99,9.83
-1.75,-9.63,0.11,9.79,-9.63,-0.04,-1.94,9.82
-1.77,-9.64,0.07,9.80,-9.65,-0.03,-1.97,9.85
-1.78,-9.63,0.07,9.79,-9.66,-0.04,-1.93,9.85
-1.74,-9.64,0.07,9.80,-9.66,-0.07,-1.94,9.86
-1.77,-9.69,0.08,9.85,-9.68,-0.08,-1.96,9.87
-1.75,-9.68,0.04,9.84,-9.66,-0.07,-1.97,9.86
-1.77,-9.67,0.04,9.83,-9.64,-0.08,-1.97,9.84
-1.77,-9.69,0.05,9.85,-9.69,-0.08,-1.95,9.88
-1.75,-9.67,0.07,9.83,-9.66,-0.08,-1.99,9.86
-1.75,-9.66,0.06,9.82,-9.69,-0.08,-1.93,9.89
-1.70,-9.62,0.04,9.77,-9.66,-0.06,-1.97,9.86
-1.76,-9.69,0.06,9.85,-9.66,-0.05,-2.00,9.87
-1.79,-9.70,0.25,9.86,-9.69,-0.06,-1.95,9.88
-1.79,-9.64,0.10,9.80,-9.65,-0.07,-1.87,9.83
-1.68,-9.57,-0.06,9.71,-9.69,-0.06,-2.11,9.91
-1.65,-9.68,-0.06,9.82,-9.66,-0.08,-1.93,9.85
-1.70,-9.70,-0.02,9.85,-9.64,-0.08,-1.91,9.83
-1.76,-9.68,0.05,9.84,-9.67,-0.10,-2.01,9.87
-1.81,-9.72,0.19,9.89,-9.65,-0.09,-1.92,9.84
-1.78,-9.63,0.20,9.79,-9.60,-0.11,-1.78,9.76
-1.74,-9.61,0.16,9.77,-9.57,-0.13,-1.75,9.73
-1.74,-9.60,0.08,9.75,-9.56,-0.08,-1.82,9.74
-1.79,-9.64,-0.04,9.81,-9.66,-0.03,-1.82,9.83
-1.79,-9.73,-0.03,9.89,-9.76,-0.02,-1.91,9.94
-1.76,-9.73,0.04,9.89,-9.74,-0.07,-1.85,9.92
-1.73,-9.81,0.08,9.96,-9.77,-0.11,-2.01,9.98
-1.68,-9.80,0.29,9.95,-9.76,-0.03,-1.80,9.92
-1.70,-9.74,0.13,9.89,-9.79,-0.01,-1.92,9.97
-1.71,-9.74,0.15,9.89,-9.74,0.01,-1.97,9.94
-1.73,-9.67,0.11,9.83,-9.71,-0.00,-2.00,9.91
-1.75,-9.62,0.14,9.78,-9.63,-0.02,-2.05,9.84
-1.74,-9.53,0.10,9.69,-9.54,-0.01,-1.96,9.73
-1.76,-9.60,0.31,9.77,-9.62,0.03,-1.96,9.82
-1.74,-9.54,0.01,9.70,-9.61,0.04,-1.94,9.80
-1.75,-9.55,0.03,9.71,-9.61,0.06,-1.88,9.79
-1.76,-9.55,0.09,9.71,-9.66,0.09,-1.94,9.86
-1.76,-9.57,0.07,9.73,-9.61,0.05,-1.79,9.77
-1.79,-9.63,0.03,9.79,-9.63,0.02,-1.76,9.78
-1.79,-9.67,0.07,9.84,-9.74,0.01,-1.83,9.91
-1.75,-9.74,0.01,9.89,-9.72,0.04,-1.79,9.88
-1.74,-9.68,-0.04,9.83,-9.70,0.04,-1.91,9.89
-1.75,-9.70,0.10,9.85,-9.76,-0.05,-1.93,9.95
-1.73,-9.68,0.11,9.84,-9.73,0.02,-1.89,9.91
-1.69,-9.68,0.09,9.83,-9.73,-0.02,-1.97,9.93
-1.69,-9.66,0.05,9.80,-9.71,-0.05,-1.92,9.90
