Ax,Ay,Az,Amag,Ax2,Ay2,Az2,Amag2
-0.04,-9.11,3.69,9.83,-4.86,-8.45,-1.52,9.87
-0.02,-9.13,3.70,9.85,-4.85,-8.46,-1.52,9.87
-0.03,-9.14,3.68,9.85,-4.87,-8.45,-1.47,9.86
-0.04,-9.15,3.70,9.87,-4.89,-8.49,-1.52,9.92
-0.02,-9.15,3.70,9.87,-4.88,-8.46,-1.47,9.87
-0.05,-9.11,3.70,9.84,-4.90,-8.46,-1.48,9.88
-0.04,-9.13,3.72,9.85,-4.90,-8.44,-1.52,9.87
-0.03,-9.13,3.70,9.85,-4.86,-8.46,-1.49,9.87
-0.04,-9.13,3.71,9.86,-4.89,-8.45,-1.49,9.87
-0.03,-9.15,3.71,9.88,-4.88,-8.48,-1.50,9.89
-0.06,-9.12,3.71,9.85,-4.85,-8.46,-1.46,9.86
-0.03,-9.12,3.72,9.85,-4.84,-8.48,-1.51,9.88
-0.03,-9.13,3.71,9.85,-4.84,-8.45,-1.50,9.86
-0.02,-9.12,3.72,9.84,-4.86,-8.46,-1.50,9.87
-0.03,-9.13,3.73,9.86,-4.86,-8.50,-1.48,9.90
-0.03,-9.11,3.72,9.84,-4.87,-8.46,-1.49,9.87
-0.03,-9.11,3.70,9.83,-4.85,-8.47,-1.49,9.88
0.00,-9.12,3.73,9.85,-4.85,-8.45,-1.49,9.86
-0.02,-9.11,3.73,9.85,-4.84,-8.43,-1.49,9.83
-0.07,-9.10,3.70,9.82,-4.91,-8.46,-1.50,9.89
-0.04,-9.14,3.73,9.87,-4.87,-8.44,-1.49,9.86
-0.06,-9.12,3.72,9.84,-4.87,-8.47,-1.49,9.88
-0.03,-9.12,3.71,9.85,-4.89,-8.47,-1.47,9.89
-0.04,-9.12,3.70,9.84,-4.87,-8.46,-1.48,9.88
-0.03,-9.12,3.70,9.84,-4.90,-8.41,-1.51,9.85
-0.04,-9.14,3.70,9.86,-4.91,-8.42,-1.49,9.86
-0.04,-9.15,3.70,9.87,-4.89,-8.44,-1.47,9.86
-0.04,-9.13,3.69,9.85,-4.89,-8.43,-1.49,9.86
-0.04,-9.11,3.69,9.83,-4.87,-8.48,-1.52,9.90
-0.03,-9.15,3.70,9.87,-4.83,-8.44,-1.50,9.84
-0.03,-9.13,3.70,9.85,-4.87,-8.44,-1.50,9.86
-0.02,-9.14,3.72,9.87,-4.85,-8.46,-1.48,9.86
-0.03,-9.15,3.69,9.86,-4.88,-8.47,-1.50,9.89
-0.03,-9.12,3.71,9.85,-4.88,-8.47,-1.47,9.89
-0.03,-9.11,3.71,9.84,-4.88,-8.46,-1.48,9.87
-0.04,-9.13,3.71,9.86,-4.88,-8.46,-1.47,9.88
-0.04,-9.12,3.70,9.84,-4.86,-8.45,-1.49,9.87
-0.03,-9.14,3.72,9.87,-4.85,-8.46,-1.44,9.86
