Ax,Ay,Az,Amag
-0.26,-9.78,0.02,9.78
-0.30,-9.79,0.03,9.79
-0.29,-9.86,0.03,9.86
-0.29,-9.83,0.02,9.84
-0.26,-9.83,0.02,9.83
-0.27,-9.83,0.01,9.84
-0.29,-9.77,0.03,9.77
-0.27,-9.76,0.03,9.77
-0.30,-9.85,0.02,9.85
-0.30,-9.81,0.05,9.81
-0.29,-9.79,0.02,9.79
-0.27,-9.82,0.02,9.82
-0.28,-9.86,0.02,9.87
-0.28,-9.82,0.03,9.83
-0.29,-9.81,0.03,9.81
-0.28,-9.84,0.03,9.85
-0.27,-9.84,0.02,9.85
-0.28,-9.81,0.01,9.82
-0.30,-9.82,-0.00,9.82
-0.29,-9.83,0.00,9.83
-0.31,-9.82,0.01,9.83
-0.29,-9.83,0.02,9.83
-0.28,-9.83,0.02,9.84
-0.28,-9.81,0.02,9.82
-0.28,-9.82,0.05,9.82
-0.29,-9.85,0.02,9.85
-0.29,-9.82,0.04,9.83
-0.28,-9.82,0.02,9.82
-0.29,-9.80,0.03,9.81
-0.27,-9.79,0.03,9.79
-0.28,-9.83,0.01,9.83
-0.29,-9.81,0.03,9.81
-0.26,-9.82,0.03,9.82
-0.29,-9.79,0.03,9.80
-0.29,-9.82,0.02,9.83
-0.29,-9.79,0.02,9.80
-0.30,-9.82,0.02,9.83
-0.30,-9.82,0.04,9.83
-0.30,-9.82,0.01,9.82
-0.29,-9.82,0.02,9.82
-0.31,-9.83,0.03,9.83
-0.26,-9.82,0.03,9.82
-0.30,-9.82,0.01,9.82
-0.27,-9.80,0.04,9.80
-0.26,-9.84,0.03,9.84
-0.26,-9.82,0.04,9.82
-0.27,-9.80,0.03,9.81
-0.27,-9.82,0.02,9.83
-0.30,-9.82,0.03,9.83
-0.29,-9.83,0.03,9.83
-0.29,-9.81,0.03,9.81
-0.28,-9.83,0.02,9.83
-0.31,-9.80,0.01,9.81
-0.28,-9.80,0.03,9.81
-0.31,-9.82,0.01,9.82
-0.28,-9.83,0.04,9.83
-0.29,-9.82,0.04,9.83
-0.28,-9.82,0.03,9.82
-0.27,-9.83,0.04,9.83
-0.26,-9.83,0.02,9.83
-0.28,-9.80,0.02,9.81
-0.30,-9.83,0.01,9.84
-0.28,-9.81,0.04,9.81
-0.28,-9.82,0.03,9.83
-0.29,-9.82,0.03,9.82
-0.27,-9.84,0.03,9.84
-0.28,-9.82,0.01,9.82
-0.29,-9.80,0.00,9.80
-0.28,-9.82,-0.01,9.82
-0.29,-9.82,0.02,9.83
-0.31,-9.80,0.04,9.81
-0.30,-9.82,0.02,9.83
-0.30,-9.82,0.04,9.82
-0.27,-9.81,0.01,9.82
-0.26,-9.82,0.03,9.82
-0.29,-9.82,0.04,9.82
-0.28,-9.82,0.01,9.82
-0.31,-9.81,0.03,9.82
-0.25,-9.81,0.03,9.81
-0.28,-9.83,0.01,9.84
-0.28,-9.82,0.03,9.82
-0.28,-9.83,0.02,9.84
-0.27,-9.84,0.00,9.84
-0.28,-9.82,0.02,9.83
-0.31,-9.80,0.03,9.80
-0.28,-9.82,0.02,9.82
-0.29,-9.83,0.03,9.84
-0.30,-9.84,0.01,9.84
-0.25,-9.81,0.03,9.81
-0.28,-9.80,0.02,9.81
-0.31,-9.81,0.06,9.82
-0.30,-9.84,0.03,9.84
-0.29,-9.83,0.03,9.84
-0.28,-9.82,0.00,9.83
-0.27,-9.81,0.00,9.81
-0.29,-9.84,0.03,9.84
-0.28,-9.81,0.02,9.81
-0.28,-9.82,0.01,9.82
-0.28,-9.81,0.03,9.82
-0.30,-9.82,0.02,9.82
-0.29,-9.81,0.00,9.82
-0.29,-9.83,0.01,9.83
-0.29,-9.83,0.03,9.84
-0.27,-9.80,0.03,9.80
-0.26,-9.82,0.03,9.82
-0.28,-9.83,0.04,9.83
-0.27,-9.80,0.03,9.81
-0.27,-9.81,0.01,9.81
-0.31,-9.81,0.02,9.81
-0.30,-9.79,0.00,9.80
-0.29,-9.83,0.02,9.84
-0.27,-9.81,0.02,9.81
-0.30,-9.80,0.03,9.80
-0.28,-9.83,0.05,9.83
-0.28,-9.79,0.03,9.80
-0.26,-9.83,0.02,9.83
-0.31,-9.80,0.01,9.81
-0.30,-9.82,0.03,9.83
-0.31,-9.81,0.03,9.81
-0.28,-9.82,0.02,9.82
-0.28,-9.84,0.03,9.84
-0.28,-9.81,0.04,9.82
-0.29,-9.81,0.03,9.81
-0.28,-9.82,0.03,9.82
-0.30,-9.82,0.01,9.82
-0.27,-9.82,0.04,9.82
-0.27,-9.84,0.02,9.84
-0.29,-9.77,0.02,9.78
-0.28,-9.80,-0.00,9.80
-0.28,-9.85,0.02,9.85
-0.27,-9.81,0.03,9.82
-0.30,-9.82,0.02,9.82
-0.28,-9.81,0.04,9.82
-0.28,-9.79,0.03,9.80
-0.27,-9.83,0.04,9.83
-0.28,-9.80,0.01,9.80
-0.29,-9.79,0.01,9.80
-0.28,-9.84,0.03,9.84
-0.30,-9.80,0.03,9.80
-0.25,-9.81,0.01,9.82
-0.30,-9.84,0.01,9.84
-0.28,-9.80,0.03,9.80
-0.27,-9.81,0.02,9.81
-0.28,-9.83,0.01,9.83
-0.28,-9.81,0.02,9.81
-0.28,-9.81,0.03,9.82
-0.31,-9.80,0.03,9.81
-0.28,-9.81,0.02,9.81
-0.28,-9.83,0.01,9.83
-0.29,-9.82,0.03,9.83
-0.26,-9.82,0.03,9.82
-0.27,-9.82,0.04,9.83
-0.29,-9.82,0.03,9.82
-0.28,-9.79,0.02,9.79
-0.31,-9.82,0.02,9.83
-0.27,-9.82,0.03,9.82
-0.28,-9.82,0.03,9.82
-0.27,-9.80,0.02,9.80
-0.28,-9.79,0.01,9.79
-0.31,-9.82,0.01,9.82
-0.29,-9.80,0.03,9.80
-0.28,-9.81,0.03,9.81
-0.26,-9.81,0.02,9.81
-0.29,-9.81,0.02,9.81
-0.28,-9.83,0.03,9.84
-0.28,-9.81,0.05,9.82
-0.29,-9.80,-0.00,9.80
-0.28,-9.81,0.03,9.82
-0.28,-9.81,0.04,9.82
-0.28,-9.83,0.01,9.83
-0.28,-9.83,0.03,9.84
-0.28,-9.82,0.04,9.82
-0.26,-9.79,0.02,9.80
-0.30,-9.83,0.02,9.83
-0.28,-9.82,0.01,9.82
-0.29,-9.83,0.03,9.84
-0.28,-9.82,0.04,9.82
-0.28,-9.84,0.02,9.84
-0.26,-9.82,0.02,9.83
-0.28,-9.80,0.03,9.81
-0.27,-9.82,0.01,9.82
-0.29,-9.83,0.01,9.84
-0.29,-9.80,0.00,9.81
-0.29,-9.79,-0.00,9.79
-0.29,-9.84,0.02,9.84
-0.28,-9.82,0.02,9.82
-0.29,-9.80,0.03,9.80
-0.27,-9.81,0.00,9.81
-0.28,-9.77,0.03,9.77
-0.26,-9.85,0.01,9.86
-0.29,-9.79,0.00,9.79
-0.29,-10.09,0.08,10.10
-0.26,-9.60,0.01,9.60
-0.29,-9.90,0.04,9.90
-0.27,-9.75,0.05,9.75
-0.30,-9.81,0.04,9.81
-0.31,-9.87,-0.01,9.87
-0.30,-9.76,0.05,9.77
-0.29,-9.83,0.05,9.83
-0.26,-9.94,0.03,9.95
-0.30,-9.74,0.08,9.75
-0.33,-9.84,0.03,9.85
-0.36,-9.74,0.00,9.75
-0.35,-9.79,-0.02,9.80
-0.34,-9.56,0.03,9.56
-0.21,-10.17,0.05,10.17
-0.15,-10.35,0.10,10.35
-0.04,-9.87,0.10,9.87
-0.19,-9.45,-0.04,9.45
-0.31,-9.86,-0.04,9.87
-0.53,-9.76,-0.01,9.78
-0.55,-9.59,-0.03,9.61
