Ax,Ay,Az,Amag
-0.01,-9.78,-0.54,9.80
-0.06,-9.80,-0.52,9.82
-0.07,-9.75,-0.44,9.76
-0.06,-9.78,-0.49,9.79
-0.01,-9.85,-0.60,9.87
-0.04,-9.79,-0.47,9.80
-0.08,-9.75,-0.42,9.76
-0.05,-9.77,-0.41,9.78
-0.03,-9.78,-0.46,9.79
-0.02,-9.77,-0.46,9.78
-0.06,-9.80,-0.48,9.81
-0.06,-9.83,-0.50,9.85
-0.05,-9.86,-0.49,9.87
-0.07,-9.87,-0.40,9.87
-0.04,-9.85,-0.42,9.86
-0.04,-9.84,-0.41,9.85
-0.03,-9.78,-0.45,9.79
-0.05,-9.77,-0.47,9.79
-0.04,-9.78,-0.47,9.79
-0.05,-9.73,-0.47,9.74
-0.03,-9.71,-0.45,9.72
-0.04,-9.77,-0.45,9.78
-0.04,-9.77,-0.47,9.78
-0.03,-9.77,-0.49,9.78
-0.03,-9.78,-0.50,9.79
-0.05,-9.77,-0.51,9.79
-0.02,-9.81,-0.50,9.82
-0.04,-9.82,-0.47,9.83
0.02,-9.81,-0.50,9.82
-0.03,-9.77,-0.44,9.78
-0.02,-9.79,-0.49,9.80
-0.01,-9.80,-0.57,9.81
-0.03,-9.79,-0.52,9.80
-0.06,-9.82,-0.53,9.83
-0.05,-9.78,-0.41,9.79
-0.01,-9.78,-0.49,9.80
-0.04,-9.79,-0.51,9.81
-0.03,-9.78,-0.48,9.79
-0.02,-9.78,-0.51,9.80
-0.03,-9.79,-0.52,9.80
-0.03,-9.78,-0.51,9.79
-0.08,-9.81,-0.50,9.82
-0.06,-9.77,-0.49,9.78
-0.01,-9.78,-0.50,9.79
-0.06,-9.80,-0.49,9.81
-0.06,-9.77,-0.48,9.78
-0.04,-9.76,-0.48,9.77
-0.03,-9.76,-0.51,9.78
0.01,-9.77,-0.54,9.78
-0.01,-9.78,-0.52,9.79
0.00,-9.78,-0.55,9.80
-0.01,-9.79,-0.53,9.80
-0.06,-9.77,-0.51,9.79
-0.02,-9.78,-0.47,9.79
-0.04,-9.78,-0.50,9.80
-0.03,-9.80,-0.50,9.81
-0.07,-9.79,-0.47,9.80
-0.04,-9.82,-0.54,9.84
-0.04,-9.82,-0.53,9.83
-0.03,-9.81,-0.53,9.83
-0.04,-9.80,-0.53,9.81
-0.04,-9.77,-0.53,9.79
-0.02,-9.80,-0.53,9.81
-0.05,-9.78,-0.54,9.79
-0.02,-9.77,-0.49,9.78
-0.00,-9.79,-0.53,9.80
-0.01,-9.72,-0.50,9.73
-0.06,-9.78,-0.50,9.80
-0.04,-9.78,-0.51,9.80
-0.08,-9.79,-0.51,9.80
-0.06,-9.77,-0.50,9.78
-0.04,-9.79,-0.49,9.80
-0.07,-9.79,-0.51,9.80
-0.07,-9.76,-0.50,9.78
-0.07,-9.78,-0.50,9.80
-0.03,-9.79,-0.53,9.81
-0.05,-9.79,-0.54,9.80
-0.04,-9.76,-0.55,9.78
-0.04,-9.76,-0.52,9.78
-0.03,-9.82,-0.58,9.84
-0.03,-9.79,-0.56,9.81
-0.05,-9.76,-0.50,9.77
-0.02,-9.82,-0.57,9.84
-0.04,-9.78,-0.55,9.79
-0.03,-9.77,-0.52,9.78
-0.02,-9.80,-0.61,9.82
-0.01,-9.78,-0.54,9.79
-0.04,-9.78,-0.51,9.79
-0.06,-9.80,-0.50,9.81
-0.07,-9.76,-0.47,9.77
-0.04,-9.82,-0.48,9.83
-0.03,-9.82,-0.51,9.83
-0.06,-9.81,-0.46,9.82
-0.06,-9.80,-0.49,9.81
-0.04,-9.81,-0.49,9.82
-0.03,-9.80,-0.47,9.81
-0.06,-9.81,-0.48,9.82
-0.06,-9.82,-0.48,9.83
-0.05,-9.78,-0.49,9.79
-0.05,-9.77,-0.50,9.78
-0.03,-9.76,-0.50,9.78
-0.05,-9.74,-0.48,9.75
-0.06,-9.75,-0.51,9.76
-0.06,-9.75,-0.51,9.76
-0.01,-9.73,-0.49,9.74
-0.04,-9.74,-0.50,9.75
-0.03,-9.76,-0.50,9.77
-0.05,-9.80,-0.51,9.81
-0.02,-9.80,-0.51,9.81
-0.03,-9.80,-0.48,9.81
0.01,-9.79,-0.46,9.80
-0.03,-9.81,-0.52,9.83
-0.01,-9.86,-0.66,9.89
-0.02,-9.75,-0.54,9.77
-0.09,-9.82,-0.53,9.83
-0.08,-9.81,-0.49,9.82
-0.02,-9.78,-0.48,9.79
-0.02,-9.81,-0.53,9.82
-0.08,-9.78,-0.53,9.80
-0.06,-9.76,-0.54,9.77
-0.06,-9.77,-0.57,9.79
-0.05,-9.79,-0.53,9.81
-0.07,-9.79,-0.50,9.80
-0.07,-9.77,-0.49,9.78
-0.05,-9.76,-0.49,9.77
-0.03,-9.80,-0.52,9.81
-0.05,-9.79,-0.53,9.80
-0.04,-9.77,-0.49,9.78
-0.03,-9.81,-0.49,9.82
-0.02,-9.79,-0.52,9.80
-0.03,-9.77,-0.53,9.79
-0.02,-9.80,-0.50,9.81
0.01,-9.78,-0.52,9.79
-0.02,-9.77,-0.52,9.79
-0.03,-9.81,-0.54,9.82
-0.03,-9.80,-0.53,9.82
-0.04,-9.81,-0.53,9.82
-0.04,-9.82,-0.52,9.83
-0.06,-9.81,-0.54,9.83
-0.00,-9.78,-0.53,9.79
-0.03,-9.78,-0.52,9.80
-0.04,-9.75,-0.53,9.76
-0.03,-9.75,-0.53,9.77
-0.03,-9.77,-0.53,9.78
-0.05,-9.78,-0.51,9.79
-0.06,-9.79,-0.52,9.80
-0.05,-9.77,-0.50,9.79
-0.06,-9.76,-0.50,9.77
-0.04,-9.80,-0.55,9.81
-0.04,-9.78,-0.51,9.79
-0.05,-9.77,-0.54,9.78
-0.08,-9.78,-0.56,9.80
-0.07,-9.77,-0.54,9.78
-0.06,-9.78,-0.58,9.80
-0.04,-9.80,-0.55,9.82
-0.06,-9.78,-0.50,9.79
-0.05,-9.81,-0.55,9.82
-0.09,-9.76,-0.49,9.77
-0.06,-9.76,-0.51,9.77
-0.01,-9.82,-0.63,9.84
-0.02,-9.78,-0.61,9.80
-0.04,-9.78,-0.55,9.80
-0.06,-9.79,-0.56,9.80
-0.06,-9.80,-0.54,9.81
-0.07,-9.77,-0.50,9.78
-0.04,-9.80,-0.48,9.81
-0.09,-9.81,-0.47,9.82
-0.07,-9.82,-0.50,9.84
-0.07,-9.81,-0.50,9.82
-0.07,-9.82,-0.48,9.83
-0.08,-9.83,-0.47,9.84
-0.08,-9.81,-0.47,9.82
-0.07,-9.80,-0.49,9.82
-0.07,-9.76,-0.50,9.77
-0.06,-9.77,-0.50,9.78
-0.07,-9.76,-0.50,9.78
-0.08,-9.76,-0.49,9.78
-0.02,-9.76,-0.48,9.77
-0.05,-9.77,-0.49,9.78
-0.01,-9.78,-0.50,9.79
-0.05,-9.78,-0.50,9.79
-0.03,-9.77,-0.49,9.78
-0.03,-9.80,-0.48,9.82
-0.03,-9.81,-0.52,9.82
-0.02,-9.83,-0.50,9.84
-0.03,-9.79,-0.47,9.80
-0.07,-9.85,-0.54,9.86
-0.02,-9.80,-0.55,9.82
-0.04,-9.76,-0.48,9.77
-0.04,-9.80,-0.51,9.82
-0.05,-9.80,-0.46,9.81
-0.02,-9.81,-0.48,9.82
-0.07,-9.79,-0.51,9.81
-0.08,-9.73,-0.49,9.75
-0.05,-9.72,-0.50,9.74
-0.04,-9.77,-0.51,9.78
-0.03,-9.78,-0.51,9.79
-0.07,-9.78,-0.53,9.80
-0.03,-9.78,-0.51,9.79
-0.01,-9.77,-0.53,9.78
-0.01,-9.77,-0.54,9.79
-0.02,-9.79,-0.52,9.80
0.00,-9.78,-0.52,9.80
-0.01,-9.77,-0.52,9.79
-0.01,-9.78,-0.51,9.79
-0.03,-9.79,-0.52,9.80
-0.04,-9.82,-0.51,9.83
-0.04,-9.82,-0.50,9.83
-0.01,-9.81,-0.48,9.82
-0.03,-9.81,-0.50,9.82
-0.04,-9.83,-0.50,9.84
-0.00,-9.78,-0.51,9.80
-0.02,-9.79,-0.51,9.80
-0.01,-9.78,-0.50,9.79
-0.02,-9.79,-0.51,9.80
-0.03,-9.80,-0.51,9.82
-0.01,-9.76,-0.53,9.77
0.00,-9.77,-0.52,9.79
-0.00,-9.75,-0.49,9.76
0.00,-9.74,-0.51,9.76
0.03,-9.76,-0.51,9.77
0.03,-9.77,-0.51,9.78
0.01,-9.82,-0.54,9.83
-0.01,-9.78,-0.53,9.79
0.00,-9.78,-0.53,9.79
-0.05,-9.77,-0.58,9.79
-0.04,-9.78,-0.55,9.79
-0.09,-9.75,-0.51,9.76
-0.07,-9.81,-0.53,9.83
-0.04,-9.80,-0.55,9.82
-0.06,-9.77,-0.59,9.79
-0.10,-9.76,-0.41,9.77
-0.02,-9.73,-0.44,9.74
-0.01,-9.89,-0.61,9.91
-0.01,-9.83,-0.55,9.85
-0.06,-9.77,-0.45,9.78
-0.01,-9.78,-0.46,9.79
-0.01,-9.80,-0.42,9.81
-0.08,-9.80,-0.42,9.81
-0.06,-9.81,-0.57,9.83
-0.08,-9.83,-0.54,9.85
-0.05,-9.79,-0.41,9.79
-0.09,-9.82,-0.45,9.83
-0.09,-9.82,-0.45,9.83
-0.07,-9.81,-0.41,9.82
-0.10,-9.78,-0.44,9.79
-0.08,-9.76,-0.37,9.77
-0.12,-9.84,-0.52,9.86
-0.10,-9.78,-0.43,9.79
-0.09,-9.74,-0.44,9.75
-0.09,-9.74,-0.47,9.75
-0.11,-9.78,-0.50,9.79
-0.08,-9.74,-0.41,9.75
-0.12,-9.76,-0.43,9.77
-0.07,-9.74,-0.45,9.75
-0.08,-9.79,-0.51,9.81
-0.08,-9.80,-0.45,9.81
-0.07,-9.80,-0.46,9.81
-0.08,-9.77,-0.41,9.78
-0.09,-9.78,-0.44,9.79
-0.12,-9.78,-0.40,9.79
-0.13,-9.82,-0.49,9.83
-0.11,-9.77,-0.43,9.78
-0.14,-9.79,-0.47,9.80
-0.10,-9.80,-0.37,9.80
-0.05,-9.81,-0.41,9.81
-0.07,-9.81,-0.44,9.82
-0.07,-9.80,-0.43,9.81
-0.06,-9.81,-0.45,9.82
-0.11,-9.81,-0.41,9.82
-0.11,-9.81,-0.45,9.82
-0.05,-9.80,-0.43,9.81
-0.09,-9.80,-0.46,9.81
-0.08,-9.79,-0.42,9.80
-0.08,-9.79,-0.43,9.80
-0.11,-9.77,-0.43,9.78
-0.08,-9.75,-0.42,9.76
-0.06,-9.77,-0.48,9.78
-0.09,-9.75,-0.47,9.76
-0.05,-9.76,-0.44,9.77
-0.06,-9.75,-0.42,9.76
-0.04,-9.77,-0.45,9.78
-0.09,-9.80,-0.46,9.81
-0.07,-9.78,-0.43,9.79
-0.06,-9.79,-0.43,9.80
-0.07,-9.81,-0.41,9.82
-0.07,-9.82,-0.48,9.83
-0.09,-9.80,-0.48,9.82
-0.07,-9.80,-0.43,9.81
-0.03,-9.78,-0.48,9.79
-0.04,-9.78,-0.47,9.79
-0.04,-9.80,-0.49,9.81
-0.09,-9.76,-0.43,9.77
-0.07,-9.74,-0.42,9.75
-0.04,-9.76,-0.47,9.77
-0.05,-9.78,-0.47,9.80
-0.03,-9.79,-0.51,9.80
-0.00,-9.78,-0.50,9.79
-0.03,-9.76,-0.49,9.77
-0.06,-9.81,-0.49,9.82
-0.02,-9.77,-0.52,9.78
-0.02,-9.77,-0.51,9.79
-0.04,-9.78,-0.51,9.80
-0.04,-9.76,-0.44,9.77
-0.03,-9.78,-0.42,9.79
0.05,-9.76,-0.45,9.77
0.01,-9.79,-0.46,9.80
-0.02,-9.76,-0.48,9.77
-0.04,-9.82,-0.42,9.83
0.02,-9.83,-0.48,9.84
0.00,-9.86,-0.50,9.87
-0.05,-9.82,-0.40,9.83
0.01,-9.79,-0.40,9.80
0.01,-9.76,-0.40,9.77
0.01,-9.76,-0.47,9.78
0.00,-9.79,-0.50,9.80
0.01,-9.80,-0.48,9.81
-0.02,-9.80,-0.44,9.81
-0.02,-9.83,-0.41,9.84
-0.03,-9.82,-0.41,9.82
