Ax,Ay,Az,Amag
-0.12,-9.44,2.78,9.85
-0.09,-9.44,2.79,9.84
-0.11,-9.44,2.77,9.84
-0.10,-9.45,2.77,9.85
-0.11,-9.47,2.77,9.86
-0.14,-9.47,2.75,9.87
-0.13,-9.47,2.73,9.86
-0.11,-9.46,2.77,9.86
-0.11,-9.46,2.76,9.85
-0.09,-9.46,2.78,9.86
-0.10,-9.45,2.80,9.85
-0.10,-9.42,2.81,9.83
-0.10,-9.40,2.81,9.81
-0.11,-9.42,2.80,9.82
-0.09,-9.40,2.80,9.81
-0.12,-9.48,2.79,9.88
-0.13,-9.50,2.85,9.92
-0.13,-9.50,2.90,9.94
-0.11,-9.50,2.92,9.93
-0.11,-9.41,2.88,9.84
-0.13,-9.40,2.84,9.82
-0.13,-9.38,2.79,9.79
-0.11,-9.32,2.78,9.72
-0.15,-9.30,2.77,9.70
-0.19,-9.34,2.79,9.75
-0.17,-9.36,2.78,9.77
-0.18,-9.43,2.80,9.84
-0.13,-9.50,2.76,9.90
-0.11,-9.52,2.80,9.92
-0.06,-9.56,2.81,9.96
-0.03,-9.58,2.83,9.99
-0.05,-9.52,2.85,9.94
-0.06,-9.48,2.91,9.92
-0.12,-9.46,2.90,9.89
-0.15,-9.43,2.91,9.87
-0.16,-9.39,2.86,9.82
-0.16,-9.35,2.80,9.76
-0.15,-9.37,2.74,9.76
-0.17,-9.40,2.72,9.79
-0.17,-9.38,2.76,9.78
-0.16,-9.41,2.76,9.81
-0.12,-9.42,2.78,9.82
-0.12,-9.42,2.82,9.84
-0.11,-9.44,2.81,9.85
-0.13,-9.42,2.83,9.84
-0.12,-9.41,2.82,9.83
-0.15,-9.44,2.82,9.85
-0.15,-9.42,2.80,9.83
-0.16,-9.42,2.84,9.84
-0.12,-9.43,2.88,9.86
-0.08,-9.45,2.89,9.88
-0.11,-9.42,2.87,9.85
-0.12,-9.46,2.84,9.87
-0.12,-9.46,2.86,9.89
-0.17,-9.45,2.84,9.87
-0.18,-9.46,2.83,9.87
-0.17,-9.50,2.81,9.91
-0.19,-9.51,2.79,9.91
-0.16,-9.47,2.78,9.87
-0.11,-9.47,2.78,9.87
-0.09,-9.42,2.77,9.82
-0.09,-9.41,2.77,9.81
-0.06,-9.40,2.77,9.80
-0.06,-9.39,2.75,9.79
-0.17,-9.43,2.74,9.83
-0.16,-9.43,2.76,9.82
-0.17,-9.46,2.72,9.85
-0.14,-9.49,2.73,9.88
-0.12,-9.51,2.76,9.91
-0.10,-9.51,2.76,9.90
-0.04,-9.49,2.78,9.88
-0.02,-9.48,2.82,9.89
-0.03,-9.49,2.82,9.90
-0.09,-9.45,2.82,9.86
-0.10,-9.46,2.82,9.87
-0.14,-9.46,2.80,9.87
-0.10,-9.46,2.75,9.85
-0.07,-9.47,2.75,9.86
-0.08,-9.47,2.77,9.87
-0.06,-9.48,2.77,9.88
-0.05,-9.43,2.81,9.85
-0.08,-9.43,2.82,9.84
-0.07,-9.39,2.80,9.80
-0.07,-9.38,2.77,9.78
-0.08,-9.39,2.75,9.78
-0.07,-9.38,2.72,9.77
-0.07,-9.42,2.71,9.80
-0.06,-9.44,2.71,9.82
-0.08,-9.52,2.76,9.91
-0.10,-9.57,2.85,9.98
-0.09,-9.53,2.85,9.95
-0.12,-9.49,2.86,9.92
-0.12,-9.45,2.78,9.85
-0.15,-9.43,2.77,9.83
-0.16,-9.44,2.74,9.83
-0.14,-9.44,2.73,9.83
-0.16,-9.45,2.72,9.84
-0.19,-9.43,2.73,9.82
-0.19,-9.44,2.74,9.83
-0.15,-9.49,2.72,9.87
-0.12,-9.48,2.68,9.86
-0.09,-9.49,2.70,9.87
-0.05,-9.52,2.71,9.89
-0.00,-9.48,2.71,9.86
-0.06,-9.48,2.72,9.86
-0.05,-9.45,2.74,9.84
-0.10,-9.47,2.75,9.87
-0.09,-9.49,2.77,9.89
-0.11,-9.48,2.78,9.87
-0.12,-9.46,2.77,9.85
-0.11,-9.45,2.74,9.84
-0.13,-9.42,2.71,9.80
-0.12,-9.40,2.66,9.77
-0.10,-9.38,2.65,9.75
-0.13,-9.43,2.63,9.79
-0.11,-9.45,2.61,9.81
-0.10,-9.46,2.63,9.82
-0.11,-9.49,2.66,9.86
-0.14,-9.51,2.69,9.88
-0.12,-9.52,2.68,9.89
