Ax,Ay,Az,Amag
0.07,-9.64,-1.31,9.73
0.05,-9.65,-1.28,9.74
-0.00,-9.71,-1.28,9.80
-0.00,-9.74,-1.21,9.82
-0.01,-9.75,-1.18,9.82
-0.01,-9.80,-1.24,9.88
0.01,-9.79,-1.26,9.87
0.02,-9.81,-1.29,9.90
0.04,-9.80,-1.26,9.88
0.06,-9.74,-1.20,9.82
0.04,-9.75,-1.25,9.83
0.01,-9.75,-1.24,9.83
0.05,-9.74,-1.26,9.82
0.01,-9.70,-1.26,9.78
0.02,-9.69,-1.23,9.77
0.04,-9.67,-1.22,9.75
0.04,-9.68,-1.21,9.76
0.03,-9.67,-1.25,9.75
0.03,-9.68,-1.26,9.76
0.01,-9.70,-1.23,9.78
0.03,-9.71,-1.23,9.79
0.02,-9.70,-1.27,9.78
0.05,-9.69,-1.30,9.78
0.04,-9.68,-1.24,9.76
0.03,-9.68,-1.21,9.75
0.03,-9.69,-1.25,9.77
0.04,-9.71,-1.34,9.80
0.04,-9.67,-1.27,9.76
0.00,-9.71,-1.28,9.79
0.00,-9.72,-1.20,9.79
0.02,-9.72,-1.27,9.80
0.02,-9.72,-1.26,9.80
0.01,-9.68,-1.24,9.76
0.00,-9.70,-1.25,9.78
0.07,-9.72,-1.24,9.80
0.01,-9.77,-1.38,9.87
-0.01,-9.68,-1.18,9.76
-0.00,-9.77,-1.30,9.85
-0.01,-9.59,-1.08,9.65
0.00,-9.74,-1.29,9.82
0.02,-9.79,-1.33,9.88
0.08,-9.74,-1.28,9.83
0.05,-9.71,-1.33,9.80
0.07,-9.71,-1.29,9.79
0.09,-9.68,-1.26,9.77
0.06,-9.71,-1.26,9.79
0.04,-9.71,-1.31,9.79
0.04,-9.68,-1.26,9.76
0.03,-9.72,-1.25,9.80
0.05,-9.72,-1.27,9.80
0.04,-9.74,-1.26,9.83
0.06,-9.75,-1.25,9.83
0.05,-9.75,-1.28,9.83
0.06,-9.74,-1.30,9.83
0.07,-9.74,-1.29,9.83
0.06,-9.73,-1.29,9.81
0.05,-9.72,-1.30,9.80
0.04,-9.67,-1.27,9.75
