Ax,Ay,Az,Amag
-2.51,-1.05,-9.55,9.93
-2.45,-1.04,-9.58,9.94
-2.37,-1.06,-9.54,9.89
-2.49,-1.08,-9.53,9.91
-2.42,-1.05,-9.57,9.93
-2.43,-1.00,-9.56,9.91
-2.44,-1.08,-9.52,9.88
-2.46,-1.12,-9.56,9.93
-2.42,-1.06,-9.57,9.92
-2.41,-0.98,-9.55,9.90
-2.40,-1.07,-9.57,9.93
-2.41,-1.11,-9.57,9.93
-2.47,-0.99,-9.56,9.93
-2.38,-1.05,-9.56,9.91
-2.39,-1.05,-9.49,9.84
-2.39,-1.02,-9.52,9.87
-2.46,-1.06,-9.57,9.94
-2.53,-1.05,-9.57,9.95
-2.42,-1.11,-9.55,9.91
-2.39,-1.06,-9.54,9.90
-2.41,-1.04,-9.56,9.91
-2.40,-1.10,-9.56,9.91
-2.44,-1.03,-9.60,9.96
-2.47,-1.03,-9.55,9.91
-2.47,-1.03,-9.52,9.89
-2.37,-1.06,-9.57,9.92
-2.43,-1.03,-9.55,9.91
-2.47,-1.08,-9.54,9.91
-2.36,-1.07,-9.55,9.90
-2.34,-1.03,-9.56,9.90
-2.46,-1.02,-9.52,9.89
-2.36,-1.02,-9.56,9.90
-2.43,-1.05,-9.56,9.92
-2.52,-1.05,-9.59,9.97
-2.44,-1.07,-9.55,9.92
-2.42,-1.08,-9.55,9.91
-2.44,-1.01,-9.57,9.92
-2.40,-1.08,-9.58,9.93
-2.43,-1.03,-9.57,9.92
-2.44,-1.05,-9.58,9.94
-2.41,-1.02,-9.54,9.90
-2.42,-1.03,-9.51,9.87
-2.41,-1.09,-9.57,9.93
-2.42,-1.05,-9.59,9.95
-2.38,-1.02,-9.58,9.92
-2.45,-1.01,-9.57,9.94
-2.45,-1.13,-9.58,9.95
-2.40,-1.08,-9.54,9.89
-2.38,-1.04,-9.57,9.91
-2.32,-1.08,-9.53,9.87
-2.47,-1.02,-9.56,9.93
-2.50,-1.02,-9.54,9.91
-2.36,-1.00,-9.56,9.89
-2.39,-1.06,-9.51,9.87
-2.39,-1.04,-9.59,9.94
-2.34,-1.06,-9.58,9.92
-2.34,-1.01,-9.57,9.90
-2.55,-1.00,-9.56,9.94
-2.53,-1.06,-9.54,9.93
-2.47,-1.09,-9.53,9.91
-2.42,-1.04,-9.57,9.92
-2.42,-1.09,-9.57,9.93
-2.48,-1.06,-9.56,9.93
-2.40,-1.05,-9.55,9.91
-2.28,-1.02,-9.54,9.86
-2.42,-1.03,-9.54,9.90
-2.52,-1.09,-9.49,9.88
-2.38,-0.98,-9.56,9.90
-2.51,-1.01,-9.55,9.93
-2.67,-1.09,-9.51,9.93
-2.40,-1.11,-9.55,9.91
-2.53,-1.06,-9.54,9.93
-2.55,-1.09,-9.57,9.96
-2.42,-1.12,-9.54,9.90
-2.38,-1.02,-9.46,9.81
-2.45,-1.03,-9.54,9.90
-2.43,-1.03,-9.63,9.98
-2.53,-1.03,-9.56,9.95
-2.52,-0.98,-9.60,9.98
-2.49,-1.20,-9.51,9.90
-2.49,-1.08,-9.52,9.90
-2.40,-1.06,-9.57,9.92
-2.45,-1.14,-9.52,9.90
-2.50,-1.07,-9.53,9.91
-2.48,-1.04,-9.55,9.92
-2.48,-1.00,-9.56,9.93
-2.44,-1.05,-9.51,9.88
-2.37,-1.12,-9.53,9.88
-2.44,-1.05,-9.53,9.89
-2.39,-1.05,-9.54,9.89
-2.47,-1.10,-9.58,9.95
-2.45,-1.03,-9.58,9.94
-2.52,-1.01,-9.55,9.93
-2.58,-1.11,-9.53,9.94
-2.47,-1.08,-9.59,9.96
-2.40,-1.04,-9.53,9.88
-2.46,-1.07,-9.56,9.93
-2.50,-1.12,-9.53,9.92
-2.53,-1.01,-9.53,9.91
-2.44,-1.06,-9.53,9.90
-2.48,-1.10,-9.52,9.89
-2.49,-1.02,-9.56,9.93
-2.50,-1.06,-9.52,9.90
-2.47,-1.07,-9.56,9.94
-2.48,-1.05,-9.53,9.90
-2.45,-1.06,-9.52,9.89
-2.49,-1.12,-9.54,9.92
-2.52,-1.07,-9.54,9.93
-2.56,-1.05,-9.48,9.87
-2.49,-1.11,-9.56,9.95
-2.54,-1.05,-9.51,9.90
-2.35,-1.06,-9.54,9.89
-2.47,-1.07,-9.52,9.89
-2.52,-1.00,-9.54,9.92
-2.67,-1.00,-9.52,9.94
-2.52,-1.06,-9.51,9.89
-2.46,-1.12,-9.50,9.87
-2.47,-1.10,-9.56,9.93
-2.53,-1.05,-9.57,9.95
-2.42,-1.06,-9.52,9.88
-2.57,-1.08,-9.53,9.93
-2.50,-1.06,-9.56,9.93
-2.51,-1.03,-9.52,9.89
-2.57,-1.04,-9.54,9.93
-2.67,-1.06,-9.50,9.93
-2.52,-1.08,-9.50,9.89
-2.39,-1.03,-9.53,9.88
-2.44,-1.03,-9.51,9.87
-2.47,-1.03,-9.56,9.93
-2.53,-1.05,-9.52,9.91
-2.51,-0.99,-9.54,9.92
-2.52,-1.06,-9.54,9.93
-2.52,-1.06,-9.58,9.96
